 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 ,0,0,0,0, 
 ,54388,49939,39.95136,11242, 
 ,141985,64376,51.501208,39144, 
 ,224973,67225,53.780656,67185, 
 ,281690,53309,42.647968,92148, 
 ,342619,59894,47.915408,119842, 
 ,408876,61697,49.357992,138753, 
 ,503424,67976,54.381176,169963, 
 ,594645,67938,54.350496,200187, 
 ,670293,66399,53.119952,225746, 
 ,740891,64633,51.706552,252045, 
 ,816376,63417,50.733848,283863, 
 ,888747,67929,54.343392,309756, 
 ,976598,65802,52.641832,341940, 
 ,1065588,67154,53.7232,373648, 
 ,1157820,68402,54.722192,403115, 
 ,1246508,66126,52.901312,434624, 
 ,1332411,67603,54.083168,463410, 
 ,1423720,65472,52.377664,497489, 
 ,1509908,64939,51.951888,531390, 
 ,1598102,64183,51.347184,567867, 
 ,1685028,64997,51.997624,602836, 
 ,1779063,66832,53.46596,635540, 
 ,1870432,67763,54.210448,667090, 
 ,1959484,66256,53.004968,698651, 
 ,2049395,66946,53.557264,729772, 
 ,2135982,64964,51.971232,762260, 
 ,2224771,67093,53.6748,792181, 
 ,2313006,66662,53.330224,822694, 
 ,2401892,67100,53.680064,852073, 
 ,2471115,63723,50.97896,880509, 
 ,2545915,65563,52.450504,907719, 
 ,2632691,65438,52.350976,939583, 
 ,2720256,65266,52.21304,973230, 
 ,2803986,65862,52.690072,1003703, 
 ,2896814,66219,52.975512,1037409, 
 ,2986838,66863,53.490984,1069893, 
 ,3080705,68474,54.779496,1099919, 
 ,3174060,68557,54.846384,1131123, 
 ,3256058,61128,48.902752,1165675, 
 ,3343572,65425,52.3404,1199485, 
 ,3428409,64076,51.261136,1235776, 
 ,3517462,66685,53.348104,1268488, 
 ,3611226,69014,55.21188,1296691, 
 ,3705130,69101,55.281424,1326397, 
 ,3780011,66988,53.590592,1353051, 
 ,3853326,65323,52.258808,1380690, 
 ,3940425,65215,52.172304,1413949, 
 ,4028564,66531,53.225392,1445291, 
 ,4118337,67018,53.614984,1476804, 
 ,4208058,66907,53.525664,1508059, 
 ,4294984,65532,52.426008,1541181, 
 ,4381256,64702,51.761656,1574714, 
 ,4468801,65856,52.684824,1609636, 
 ,4561237,67897,54.318,1641423, 
 ,4632431,65721,52.576952,1667603, 
 ,4707155,64676,51.741152,1696953, 
 ,4794691,65929,52.743728,1727419, 
 ,4881486,65416,52.333472,1760655, 
 ,4973797,68148,54.518944,1790235, 
 ,5060934,65712,52.569752,1823006, 
 ,5141073,65564,52.451232,1853392, 
 ,5207878,66629,53.303912,1877776, 
 ,5300170,67677,54.141632,1913139, 
 ,5373920,67884,54.307352,1941174, 
 ,5452539,66743,53.394632,1972138, 
 ,5543966,68189,54.551608,2006904, 
 ,5633550,66655,53.32408,2043255, 
 ,5728768,69483,55.587104,2077714, 
 ,5819922,67593,54.075184,2111305, 
 ,5910311,66466,53.172928,2149908, 
 ,5998710,66146,52.917288,2189996, 
 ,6088572,66940,53.55212,2230183, 
 ,6180258,67845,54.276552,2270701, 
 ,6271248,67760,54.208544,2303548, 
 ,6362578,68042,54.434168,2335652, 
 ,6456066,69125,55.300752,2367975, 
 ,6550729,69157,55.32632,2406277, 
 ,6624905,67081,53.665312,2437210, 
 ,6698755,64574,51.659696,2472285, 
 ,6791768,68517,54.81384,2506440, 
 ,6885057,68698,54.9588,2542302, 
 ,6975063,66866,53.49356,2581035, 
 ,7067817,67931,54.345312,2618174, 
 ,7160548,68156,54.525272,2656197, 
 ,7253883,68011,54.409296,2693675, 
 ,7348167,69320,55.45644,2729654, 
 ,7441540,68625,54.900464,2765607, 
 ,7531467,66782,53.425768,2805167, 
 ,7621290,66865,53.492176,2843923, 
 ,7711904,67284,53.82756,2883394, 
 ,7799639,65340,52.272176,2924593, 
 ,7893222,68101,54.481448,2962287, 
 ,7971244,68090,54.472128,2995899, 
 ,8044571,66040,52.832384,3027539, 
 ,8133832,66629,53.303512,3067395, 
 ,8225943,67483,53.98692,3106461, 
 ,8314963,65127,52.101776,3148308, 
 ,8404454,66126,52.900816,3187976, 
 ,8493202,65761,52.609368,3224435, 
 ,8582452,64530,51.624016,3259369, 
 ,8676037,68114,54.491816,3290229, 
 ,8768095,68003,54.403096,3323146, 
 ,8838585,65190,52.152568,3351132, 
 ,8918242,67622,54.097992,3378454, 
 ,9005836,68703,54.962616,3408317, 
 ,9099555,66344,53.075992,3445859, 
 ,9188735,65812,52.649672,3479992, 
 ,9278294,66725,53.380096,3514409, 
 ,9356968,66239,52.991344,3545605, 
 ,9438222,61975,49.580264,3574448, 
 ,9507437,67051,53.641368,3598007, 
 ,9601665,69060,55.248024,3627899, 
 ,9674872,58786,47.029152,3654835, 
 ,9744503,67571,54.05724,3678758, 
 ,9821275,66511,53.20936,3702710, 
 ,9913899,68339,54.671224,3734419, 
 ,10006142,68510,54.808144,3767336, 
 ,10095375,66116,52.893544,3801789, 
 ,10186399,67327,53.862264,3836884, 
 ,10276936,67101,53.681336,3869132, 
 ,10364206,64243,51.39496,3907338, 
 ,10427582,63428,50.742608,3933741, 
 ,10520214,67240,53.79228,3966720, 
 ,10607172,65381,52.304888,4002544, 
 ,10669949,60051,48.040968,4035065, 
 ,10760809,66154,52.923616,4070205, 
 ,10851582,65889,52.711904,4102046, 
 ,10926192,62312,49.849704,4134354, 
 ,11001489,62272,49.818376,4168078, 
 ,11094935,64707,51.76612,4201574, 
 ,11192164,68941,55.153376,4236168, 
 ,11274421,64774,51.819552,4267855, 
 ,11349415,71592,57.27372,4286953, 
 ,11416533,66112,52.890096,4310759, 
 ,11504110,71845,57.476488,4334751, 
 ,11568938,60950,48.760128,4362419, 
 ,11635884,65653,52.522936,4385094, 
 ,11725701,59649,47.719568,4426289, 
 ,11784905,58128,46.50248,4455842, 
 ,11842208,53140,42.51256,4496642, 
 ,11890051,47888,38.310712,4513660, 
 ,11950094,52327,41.861752,4531107, 
 ,12016816,65152,52.121928,4554569, 
 ,12053735,35523,28.418872,4573272, 
 ,12094283,34028,27.222528,4622811, 
 ,12135753,36065,28.852504,4648753, 
 ,12192545,46410,37.1282,4686396, 
 ,12248323,51609,41.287368,4723278, 
 ,12313760,53855,43.08428,4765447, 
 ,12373200,52696,42.15756,4803166, 
 ,12429582,53468,42.77496,4844379, 
 ,12488204,52251,41.80108,4883619, 
 ,12548505,56026,44.821496,4921409, 
 ,12610244,56677,45.341808,4958864, 
 ,12670453,56379,45.103288,4995212, 
 ,12728834,53641,42.913512,5032658, 
 ,12787340,53968,43.174992,5071200, 
 ,12847036,55269,44.215328,5108437, 
 ,12905325,56181,44.944864,5145395, 
 ,12968467,55370,44.296184,5184826, 
 ,13027409,55012,44.010248,5224083, 
 ,13085009,53120,42.496168,5262393, 
 ,13143821,54829,43.863768,5300262, 
 ,13204191,54658,43.72708,5340529, 
 ,13260771,53562,42.849712,5380817, 
 ,13318895,53193,42.5544,5416760, 
 ,13378874,55330,44.264448,5457802, 
 ,13437134,53569,42.85596,5497790, 
 ,13494940,53846,43.07756,5538811, 
 ,13552502,54162,43.330272,5578933, 
 ,13609486,53487,42.789768,5619918, 
 ,13670166,56140,44.912632,5660533, 
 ,13727804,54371,43.4968,5700145, 
 ,13783459,53822,43.058,5738487, 
 ,13844598,55462,44.370296,5780038, 
