 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 115524 , 68351 , 54.681424 , 27271 , 
 , 221296 , 75166 , 60.133 , 46727 , 
 , 333585 , 74715 , 59.772464 , 79287 , 
 , 409780 , 54621 , 43.697303999999995 , 138793 , 
 , 486039 , 68701 , 54.961487999999996 , 175123 , 
 , 593110 , 77781 , 62.224888 , 202456 , 
 , 678051 , 73105 , 58.484152 , 221436 , 
 , 756198 , 75391 , 60.3128 , 240729 , 
 , 869173 , 77809 , 62.247448 , 268846 , 
 , 964608 , 74712 , 59.76968 , 291662 , 
 , 1054086 , 77722 , 62.178192 , 311155 , 
 , 1152850 , 76229 , 60.983591999999994 , 331941 , 
 , 1237353 , 74304 , 59.44364 , 355627 , 
 , 1311362 , 71357 , 57.086048000000005 , 382660 , 
 , 1385201 , 74211 , 59.369527999999995 , 400798 , 
 , 1445235 , 50353 , 40.282447999999995 , 412189 , 
 , 1557794 , 78151 , 62.521311999999995 , 438135 , 
 , 1670113 , 77974 , 62.379472 , 465996 , 
 , 1782073 , 76276 , 61.021392 , 494110 , 
 , 1872615 , 76533 , 61.226616 , 516206 , 
 , 1973924 , 79722 , 63.777616 , 536590 , 
 , 2042633 , 65562 , 52.450112000000004 , 565391 , 
 , 2112857 , 68703 , 54.962703999999995 , 591105 , 
 , 2197267 , 79429 , 63.543735999999996 , 607639 , 
 , 2275583 , 78149 , 62.519256 , 627047 , 
 , 2353978 , 63422 , 50.737728000000004 , 668619 , 
 , 2430536 , 63892 , 51.113712 , 710668 , 
 , 2507688 , 64248 , 51.399072 , 749325 , 
 , 2627357 , 81793 , 65.434776 , 772128 , 
 , 2746783 , 82455 , 65.964536 , 795040 , 
 , 2865012 , 82151 , 65.721016 , 817115 , 
 , 2984916 , 82281 , 65.8248 , 838110 , 
 , 3103603 , 80636 , 64.508928 , 861292 , 
 , 3206082 , 78444 , 62.755767999999996 , 884307 , 
 , 3286919 , 79372 , 63.498184 , 899107 , 
 , 3403227 , 80676 , 64.54084 , 924690 , 
 , 3480564 , 75173 , 60.139032 , 943488 , 
 , 3601370 , 78550 , 62.840008000000005 , 970939 , 
 , 3694864 , 82831 , 66.265032 , 987761 , 
 , 3783550 , 74747 , 59.798224000000005 , 1008883 , 
 , 3900523 , 79362 , 63.490152 , 1034381 , 
 , 4016380 , 79702 , 63.761608 , 1059747 , 
 , 4124798 , 77932 , 62.34592 , 1079963 , 
 , 4203834 , 73478 , 58.782656 , 1104080 , 
 , 4320559 , 80412 , 64.330168 , 1129612 , 
 , 4437556 , 79459 , 63.567224 , 1153048 , 
 , 4554161 , 80997 , 64.797968 , 1176944 , 
 , 4647214 , 80152 , 64.12224 , 1197042 , 
 , 4746421 , 75692 , 60.55364 , 1225652 , 
 , 4860627 , 79726 , 63.780984 , 1250433 , 
 , 4977985 , 81546 , 65.237032 , 1274823 , 
 , 5094652 , 79925 , 63.940648 , 1300405 , 
 , 5212551 , 81419 , 65.135408 , 1323389 , 
 , 5329699 , 80188 , 64.15056799999999 , 1348608 , 
 , 5445888 , 78962 , 63.170224000000005 , 1376305 , 
 , 5553682 , 78040 , 62.432447999999994 , 1403331 , 
 , 5636538 , 78777 , 63.0222 , 1422020 , 
 , 5713934 , 77700 , 62.160464 , 1440449 , 
 , 5825293 , 77163 , 61.730944 , 1470135 , 
 , 5938032 , 78311 , 62.649440000000006 , 1498406 , 
 , 6051068 , 77864 , 62.291824 , 1526032 , 
 , 6167224 , 80169 , 64.13556 , 1547324 , 
 , 6281054 , 78111 , 62.489056 , 1574057 , 
 , 6394122 , 77542 , 62.033671999999996 , 1603848 , 
 , 6509463 , 77755 , 62.204208 , 1632270 , 
 , 6625200 , 79301 , 63.441168 , 1658042 , 
 , 6740022 , 78936 , 63.149464 , 1684885 , 
 , 6855086 , 77986 , 62.388896 , 1711753 , 
 , 6940309 , 78435 , 62.748112 , 1731573 , 
 , 7036704 , 73522 , 58.817648 , 1753549 , 
 , 7151512 , 79186 , 63.349328 , 1781054 , 
 , 7227320 , 69868 , 55.89488 , 1809934 , 
 , 7347287 , 80733 , 64.5868 , 1835512 , 
 , 7434197 , 70653 , 56.52292 , 1856695 , 
 , 7521413 , 79652 , 63.72172 , 1882164 , 
 , 7633765 , 76474 , 61.17944 , 1907352 , 
 , 7750643 , 80895 , 64.716408 , 1930994 , 
 , 7864852 , 78198 , 62.558887999999996 , 1959682 , 
 , 7942342 , 72219 , 57.775216 , 1985894 , 
 , 8019260 , 63660 , 50.928528 , 2027000 , 
 , 8096565 , 58244 , 46.595416 , 2075346 , 
 , 8173873 , 62098 , 49.678776 , 2120278 , 
 , 8251089 , 63927 , 51.1418 , 2162877 , 
 , 8329358 , 64797 , 51.837632 , 2201689 , 
 , 8405977 , 53233 , 42.586808 , 2265174 , 
 , 8482566 , 63648 , 50.918624 , 2306623 , 
 , 8565174 , 79251 , 63.401224 , 2324689 , 
 , 8643155 , 72070 , 57.656344 , 2347336 , 
 , 8721616 , 68429 , 54.743272 , 2374268 , 
 , 8798056 , 63515 , 50.812304 , 2415563 , 
 , 8875962 , 64380 , 51.504608 , 2453834 , 
 , 8954020 , 64351 , 51.481120000000004 , 2493971 , 
 , 9032523 , 57275 , 45.820423999999996 , 2549053 , 
 , 9076320 , 43981 , 35.185376 , 2572901 , 
 , 9126861 , 43040 , 34.43208 , 2590141 , 
 , 9203779 , 63694 , 50.95548 , 2633698 , 
 , 9275510 , 63383 , 50.706544 , 2669558 , 
 , 9353881 , 60638 , 48.510976 , 2719255 , 
 , 9432586 , 62854 , 50.283984 , 2761962 , 
 , 9510526 , 64543 , 51.634608 , 2803940 , 
 , 9587229 , 63683 , 50.947120000000005 , 2844894 , 
 , 9663966 , 63841 , 51.07296 , 2885464 , 
 , 9738784 , 62203 , 49.762712 , 2928550 , 
 , 9815702 , 62712 , 50.169664 , 2971087 , 
 , 9858880 , 41139 , 32.911656 , 3020392 , 
 , 9942183 , 59318 , 47.455144 , 3067045 , 
 , 10019505 , 60128 , 48.103055999999995 , 3111896 , 
 , 10097924 , 63391 , 50.713096 , 3152026 , 
 , 10173769 , 58015 , 46.412224 , 3192431 , 
 , 10240489 , 60158 , 48.126544 , 3227907 , 
 , 10326468 , 63497 , 50.797703999999996 , 3272498 , 
 , 10401317 , 62832 , 50.265728 , 3314594 , 
 , 10477214 , 71725 , 57.380032 , 3339479 , 
 , 10579411 , 79390 , 63.512536 , 3364131 , 
 , 10673161 , 80078 , 64.062696 , 3383971 , 
 , 10752194 , 67036 , 53.629591999999995 , 3415795 , 
 , 10832860 , 52719 , 42.175296 , 3467603 , 
 , 10918108 , 46619 , 37.295352 , 3555288 , 
 , 10997864 , 50538 , 40.431064 , 3631110 , 
 , 11076193 , 49705 , 39.764264000000004 , 3704015 , 
 , 11154671 , 49680 , 39.744696000000005 , 3778323 , 
 , 11233811 , 77435 , 61.948752 , 3816692 , 
 , 11350984 , 82141 , 65.713312 , 3840260 , 
 , 11447516 , 81448 , 65.159 , 3856967 , 
 , 11533139 , 79706 , 63.765232000000005 , 3871583 , 
 , 11622198 , 74496 , 59.597144 , 3890878 , 
 , 11705992 , 79606 , 63.685168 , 3906802 , 
 , 11800894 , 79716 , 63.773024 , 3925615 , 
 , 11918072 , 81042 , 64.834232 , 3951490 , 
 , 12033902 , 80817 , 64.65423200000001 , 3977436 , 
 , 12147468 , 79390 , 63.512767999999994 , 4005468 , 
 , 12207608 , 49670 , 39.736591999999995 , 4042898 , 
 , 12287171 , 72300 , 57.84028 , 4069142 , 
 , 12403355 , 80357 , 64.286304 , 4091916 , 
 , 12520532 , 80648 , 64.51859999999999 , 4113352 , 
 , 12638932 , 79929 , 63.94344 , 4137154 , 
 , 12725630 , 81076 , 64.860816 , 4153109 , 
 , 12818510 , 76433 , 61.146440000000005 , 4171749 , 
 , 12934435 , 78942 , 63.153864 , 4190534 , 
 , 13017808 , 70161 , 56.129400000000004 , 4219584 , 
 , 13109988 , 80966 , 64.773288 , 4237050 , 
 , 13225963 , 81190 , 64.952472 , 4263191 , 
 , 13318779 , 76146 , 60.936864 , 4283106 , 
 , 13436586 , 82465 , 65.95591999999999 , 4305739 , 
 , 13552603 , 80775 , 64.620376 , 4330370 , 
 , 13632808 , 74665 , 59.732224 , 4353374 , 
 , 13733409 , 67711 , 54.168824 , 4392535 , 
 , 13851161 , 80542 , 64.43364 , 4416607 , 
 , 13942238 , 74391 , 59.513495999999996 , 4434675 , 
 , 14036364 , 80730 , 64.584704 , 4452013 , 
 , 14115852 , 72703 , 58.162872 , 4471816 , 
 , 14208968 , 67922 , 54.337616000000004 , 4500735 , 
 , 14320857 , 80117 , 64.0936 , 4527222 , 
 , 14403043 , 78533 , 62.826968 , 4544856 , 
 , 14500856 , 79808 , 63.847176 , 4563310 , 
 , 14563255 , 53679 , 42.9432 , 4604984 , 
 , 14625992 , 57295 , 45.836416 , 4620388 , 
 , 14723185 , 80621 , 64.497248 , 4636972 , 
 , 14805474 , 80465 , 64.37264 , 4652866 , 
 , 14903518 , 67482 , 53.985712 , 4681711 , 
 , 14979256 , 76077 , 60.861776 , 4703436 , 
 , 15079056 , 72669 , 58.135936 , 4730359 , 
 , 15156558 , 75184 , 60.147896 , 4754068 , 
 , 15274218 , 80368 , 64.294856 , 4781223 , 
 , 15370759 , 79259 , 63.407856 , 4805474 , 
 , 15478753 , 74813 , 59.850775999999996 , 4836003 , 
 , 15535412 , 56884 , 45.507495999999996 , 4847747 , 
 , 15580101 , 38777 , 31.021720000000002 , 4853644 , 
 , 15611002 , 29767 , 23.814072 , 4871633 , 
 , 15640661 , 29563 , 23.650664 , 4896529 , 
 , 15695460 , 39405 , 31.524656 , 4914602 , 
 , 15772205 , 70877 , 56.70172 , 4940154 , 
 , 15886562 , 76232 , 60.986288 , 4969784 , 
 , 15989650 , 76498 , 61.199023999999994 , 4993245 , 
 , 16078225 , 80875 , 64.700448 , 5011733 , 
 , 16158645 , 77913 , 62.330696 , 5030547 , 
 , 16273994 , 79477 , 63.581711999999996 , 5057323 , 
 , 16390001 , 79478 , 63.582936000000004 , 5085855 , 
 , 16467603 , 76859 , 61.487928 , 5104469 , 
 , 16584963 , 79110 , 63.28876 , 5132160 , 
 , 16661372 , 68752 , 55.002207999999996 , 5159924 , 
 , 16737032 , 62790 , 50.23240800000001 , 5208313 , 
 , 16822312 , 61258 , 49.007088 , 5256078 , 
 , 16891716 , 53604 , 42.883432 , 5302892 , 
 , 16975998 , 61357 , 49.085775999999996 , 5354850 , 
 , 17052346 , 60339 , 48.271752 , 5396291 , 
 , 17105108 , 49699 , 39.759832 , 5427938 , 
 , 17149723 , 37182 , 29.745832 , 5452201 , 
 , 17225258 , 61370 , 49.09644 , 5510480 , 
 , 17274847 , 42213 , 33.770968 , 5536459 , 
 , 17316935 , 42283 , 33.826848 , 5559895 , 
 , 17356562 , 36027 , 28.821831999999997 , 5593999 , 
 , 17445475 , 55104 , 44.083224 , 5656250 , 
 , 17532973 , 55826 , 44.661376 , 5714649 , 
 , 17606827 , 44445 , 35.556216 , 5806059 , 
 , 17680236 , 66740 , 53.39268 , 5840679 , 
 , 17753757 , 71626 , 57.3014 , 5868461 , 
 , 17835391 , 52993 , 42.394576 , 5938983 , 
 , 17909321 , 69408 , 55.52692 , 5969028 , 
 , 18019928 , 76507 , 61.206144 , 6001108 , 
 , 18130688 , 75791 , 60.632888 , 6030939 , 
 , 18242603 , 75684 , 60.547696 , 6062169 , 
 , 18354542 , 76378 , 61.102656 , 6091411 , 
 , 18456257 , 78241 , 62.593120000000006 , 6112698 , 
 , 18536301 , 74795 , 59.836696 , 6134274 , 
 , 18648496 , 78217 , 62.57372 , 6160868 , 
 , 18760844 , 78586 , 62.869568 , 6183015 , 
 , 18841955 , 75984 , 60.787296000000005 , 6202216 , 
 , 18945871 , 77092 , 61.673776 , 6228282 , 
 , 19045856 , 76481 , 61.185455999999995 , 6255442 , 
 , 19130286 , 71706 , 57.36532 , 6282459 , 
 , 19240115 , 76092 , 60.873855999999996 , 6312200 , 
 , 19328061 , 71796 , 57.436928 , 6340750 , 
 , 19405644 , 75474 , 60.379752 , 6362964 , 
 , 19523003 , 81256 , 65.005328 , 6387323 , 
 , 19641232 , 81040 , 64.832168 , 6411305 , 
 , 19758861 , 81189 , 64.951256 , 6435401 , 
 , 19873580 , 79682 , 63.746055999999996 , 6460769 , 
 , 19973759 , 78181 , 62.545176 , 6483196 , 
 , 20089468 , 79858 , 63.88712 , 6508299 , 
 , 20203765 , 76346 , 61.077336 , 6532524 , 
 , 20315782 , 77778 , 62.222671999999996 , 6562305 , 
 , 20428431 , 77687 , 62.150135999999996 , 6589640 , 
 , 20543078 , 78287 , 62.629896 , 6618834 , 
 , 20656624 , 77763 , 62.211016 , 6647440 , 
 , 20769784 , 77195 , 61.756208 , 6676397 , 
 , 20882793 , 77373 , 61.89844 , 6705687 , 
 , 20997452 , 78718 , 62.974536 , 6732782 , 
 , 21111750 , 78597 , 62.878096 , 6758995 , 
 , 21226359 , 79173 , 63.339176 , 6786254 , 
 , 21324197 , 77911 , 62.329256 , 6809692 , 
 , 21437742 , 78747 , 62.997864 , 6835657 , 
 , 21550661 , 77765 , 62.212264000000005 , 6865071 , 
 , 21663622 , 77196 , 61.756848 , 6894977 , 
 , 21776571 , 79062 , 63.250167999999995 , 6921103 , 
 , 21891497 , 79985 , 63.988728 , 6946806 , 
 , 22005340 , 80818 , 64.65496 , 6971376 , 
 , 22084540 , 79736 , 63.788848 , 6987523 , 
 , 22166543 , 78024 , 62.41932 , 7006734 , 
 , 22277782 , 76896 , 61.517064 , 7034370 , 
 , 22389171 , 77045 , 61.636184 , 7063750 , 
