 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 98310 , 71366 , 57.092928 , 0 , 
 , 191900 , 93609 , 74.88772 , 1085 , 
 , 264735 , 72682 , 58.145656 , 1085 , 
 , 358954 , 93914 , 75.131992 , 1085 , 
 , 459871 , 100944 , 80.75572 , 1085 , 
 , 573676 , 102465 , 81.972064 , 1085 , 
 , 679246 , 103276 , 82.621384 , 1628 , 
 , 754764 , 76062 , 60.850264 , 1764 , 
 , 851863 , 97146 , 77.71759200000001 , 1764 , 
 , 951119 , 99208 , 79.36646400000001 , 1764 , 
 , 1052969 , 101919 , 81.5356 , 1764 , 
 , 1154143 , 101065 , 80.85260000000001 , 1764 , 
 , 1253003 , 98904 , 79.12344 , 1764 , 
 , 1354845 , 101874 , 81.499592 , 1764 , 
 , 1456215 , 101404 , 81.123336 , 1764 , 
 , 1562140 , 103800 , 83.040248 , 1764 , 
 , 1752267 , 107112 , 85.68988 , 4749 , 
 , 1824752 , 73525 , 58.820184 , 4749 , 
 , 1937291 , 100665 , 80.53232799999999 , 6202 , 
 , 2099400 , 108126 , 86.50092 , 6834 , 
 , 2207894 , 106722 , 85.37817600000001 , 6834 , 
 , 2314494 , 107368 , 85.89492 , 6834 , 
 , 2421537 , 107230 , 85.784264 , 6834 , 
 , 2536335 , 106510 , 85.208336 , 7078 , 
 , 2632786 , 97942 , 78.354128 , 7078 , 
 , 2735271 , 102277 , 81.863496 , 7078 , 
 , 2839414 , 104231 , 83.343304 , 7078 , 
 , 2944852 , 105495 , 84.39656 , 7078 , 
 , 3049658 , 104753 , 83.803144 , 7078 , 
 , 3154213 , 104586 , 83.669432 , 7078 , 
 , 3263862 , 106817 , 85.453648 , 7078 , 
 , 3366529 , 103612 , 82.890136 , 7078 , 
 , 3469804 , 103511 , 82.80954399999999 , 7078 , 
 , 3576605 , 105652 , 84.52220799999999 , 7078 , 
 , 3707508 , 106181 , 84.94492 , 7078 , 
 , 3821327 , 105624 , 84.499944 , 7078 , 
 , 3921835 , 101369 , 81.095872 , 7078 , 
 , 4024995 , 102986 , 82.38925599999999 , 7078 , 
 , 4130596 , 105791 , 84.63288 , 7078 , 
 , 4226793 , 95974 , 76.779544 , 7078 , 
 , 4327345 , 100794 , 80.63536 , 7078 , 
 , 4423038 , 95364 , 76.291264 , 7305 , 
 , 4505324 , 82483 , 65.98664 , 7305 , 
 , 4593068 , 86347 , 69.077656 , 7305 , 
 , 4695766 , 101671 , 81.337456 , 7305 , 
 , 4800204 , 105139 , 84.11141599999999 , 8400 , 
 , 4895142 , 95175 , 76.14074400000001 , 12625 , 
 , 4956638 , 60368 , 48.294608 , 13058 , 
 , 5054856 , 98744 , 78.99528 , 13058 , 
 , 5155615 , 100785 , 80.62816000000001 , 13058 , 
 , 5255967 , 100241 , 80.193464 , 13058 , 
 , 5352134 , 94732 , 75.78604 , 13058 , 
 , 5441175 , 85685 , 68.54804 , 13058 , 
 , 5539628 , 98607 , 78.885696 , 13058 , 
 , 5644839 , 102372 , 81.898088 , 13058 , 
 , 5747863 , 103079 , 82.46364 , 13058 , 
 , 5901464 , 102137 , 81.710368 , 13891 , 
 , 6004483 , 102276 , 81.820848 , 17818 , 
 , 6109427 , 103543 , 82.83501600000001 , 18837 , 
 , 6233588 , 99029 , 79.22372 , 20428 , 
 , 6377493 , 98005 , 78.404024 , 30739 , 
 , 6535155 , 102549 , 82.039936 , 33410 , 
 , 6710133 , 97555 , 78.044704 , 48263 , 
 , 6828970 , 93344 , 74.675728 , 60078 , 
 , 6954552 , 102973 , 82.37876 , 64446 , 
 , 7141422 , 102958 , 82.36671199999999 , 71054 , 
 , 7302890 , 102685 , 82.148336 , 74159 , 
 , 7392420 , 73579 , 58.863552000000006 , 103800 , 
 , 7492733 , 93706 , 74.9652 , 110424 , 
 , 7608953 , 99354 , 79.483712 , 116165 , 
 , 7772588 , 100805 , 80.644424 , 122290 , 
 , 7908143 , 102305 , 81.8444 , 130325 , 
 , 8000317 , 89079 , 71.26364 , 147156 , 
 , 8130002 , 91447 , 73.158208 , 169203 , 
 , 8223232 , 92086 , 73.669392 , 183285 , 
 , 8302165 , 77729 , 62.183912 , 208224 , 
 , 8462023 , 75986 , 60.788832 , 259417 , 
 , 8520000 , 56415 , 45.1322 , 303798 , 
 , 8584580 , 55346 , 44.277456 , 343764 , 
 , 8778513 , 85141 , 68.11331200000001 , 390593 , 
 , 8880065 , 76750 , 61.4 , 425782 , 
 , 8953053 , 64652 , 51.721984 , 470250 , 
 , 9101062 , 101510 , 81.20828 , 476310 , 
 , 9231105 , 74856 , 59.885112 , 522763 , 
 , 9394418 , 94490 , 75.592552 , 541810 , 
 , 9541439 , 101934 , 81.547912 , 551643 , 
 , 9655254 , 100393 , 80.314792 , 554913 , 
 , 9776505 , 101042 , 80.833792 , 559275 , 
 , 9894567 , 97894 , 78.31524800000001 , 567730 , 
 , 10013026 , 101511 , 81.20944 , 568728 , 
 , 10210819 , 101584 , 81.26740799999999 , 572332 , 
 , 10331080 , 100390 , 80.31219999999999 , 579375 , 
 , 10438978 , 90813 , 72.650632 , 580835 , 
 , 10539801 , 101378 , 81.102592 , 581785 , 
 , 10687038 , 102019 , 81.615264 , 585553 , 
 , 10831725 , 102383 , 81.907072 , 589876 , 
 , 10969229 , 104286 , 83.428856 , 592329 , 
 , 11080266 , 96146 , 76.91746400000001 , 600472 , 
 , 11184865 , 103945 , 83.15639200000001 , 600472 , 
 , 11288367 , 102799 , 82.239488 , 602677 , 
 , 11388322 , 99431 , 79.545192 , 605037 , 
 , 11489865 , 95988 , 76.790816 , 605152 , 
 , 11603657 , 102613 , 82.09116 , 606499 , 
 , 11706569 , 100516 , 80.413112 , 614923 , 
 , 11896610 , 104124 , 83.29988800000001 , 619563 , 
 , 12046372 , 102473 , 81.978936 , 622841 , 
 , 12147174 , 99011 , 79.209096 , 628939 , 
 , 12269378 , 94798 , 75.8388 , 639415 , 
 , 12392921 , 97042 , 77.633776 , 649805 , 
 , 12518275 , 103835 , 83.068424 , 657357 , 
 , 12644673 , 101935 , 81.548016 , 668626 , 
 , 12730341 , 81885 , 65.508176 , 697560 , 
 , 12876708 , 101984 , 81.587408 , 712595 , 
 , 13022386 , 100018 , 80.01482399999999 , 728550 , 
 , 13169262 , 103280 , 82.624152 , 740620 , 
 , 13314459 , 90724 , 72.579992 , 771170 , 
 , 13408069 , 93375 , 74.700792 , 792132 , 
 , 13605269 , 98315 , 78.652688 , 811036 , 
 , 13737631 , 99372 , 79.498008 , 826891 , 
 , 13842086 , 101608 , 81.28698399999999 , 834114 , 
 , 14031195 , 93168 , 74.534744 , 863712 , 
 , 14179545 , 103839 , 83.07172 , 868832 , 
 , 14283929 , 101610 , 81.288504 , 874848 , 
 , 14473163 , 101983 , 81.58708 , 893815 , 
 , 14618371 , 89876 , 71.900984 , 929649 , 
 , 14765550 , 102639 , 82.111256 , 943123 , 
