 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 26937 , 21761 , 17.409216 , 0 , 
 , 60152 , 33215 , 26.572551999999998 , 0 , 
 , 95029 , 34853 , 27.882608 , 0 , 
 , 134314 , 39289 , 31.431736 , 18 , 
 , 175752 , 41442 , 33.154343999999995 , 18 , 
 , 218278 , 41858 , 33.487176 , 18 , 
 , 262029 , 43078 , 34.463136 , 18 , 
 , 302737 , 40683 , 32.546576 , 18 , 
 , 346178 , 43433 , 34.746576 , 18 , 
 , 389738 , 43561 , 34.848800000000004 , 18 , 
 , 431466 , 41729 , 33.383832000000005 , 18 , 
 , 475438 , 43972 , 35.178296 , 18 , 
 , 519745 , 43627 , 34.901856 , 18 , 
 , 563033 , 43272 , 34.618311999999996 , 18 , 
 , 608604 , 44687 , 35.750336000000004 , 18 , 
 , 652902 , 44493 , 35.594624 , 18 , 
 , 696957 , 44056 , 35.245160000000006 , 18 , 
 , 741922 , 44965 , 35.97228 , 18 , 
 , 786572 , 43953 , 35.163152000000004 , 18 , 
 , 828987 , 41767 , 33.41388 , 18 , 
 , 873342 , 43675 , 34.940672 , 18 , 
 , 917554 , 44209 , 35.367296 , 18 , 
 , 960302 , 42757 , 34.20572 , 18 , 
 , 1004883 , 44574 , 35.659375999999995 , 18 , 
 , 1049114 , 44222 , 35.377616 , 18 , 
 , 1094080 , 44289 , 35.431472 , 18 , 
 , 1138976 , 44200 , 35.360048 , 18 , 
 , 1171774 , 32800 , 26.240416 , 18 , 
 , 1206352 , 34574 , 27.659328000000002 , 18 , 
 , 1250318 , 43962 , 35.16983999999999 , 18 , 
 , 1293672 , 43356 , 34.685447999999994 , 18 , 
 , 1337642 , 43292 , 34.634112 , 18 , 
 , 1380013 , 42371 , 33.897104 , 18 , 
 , 1422464 , 42443 , 33.954584000000004 , 18 , 
 , 1455259 , 32729 , 26.18324 , 18 , 
 , 1490602 , 35195 , 28.156112 , 18 , 
 , 1530900 , 40258 , 32.20648 , 18 , 
 , 1573013 , 42123 , 33.699192000000004 , 18 , 
 , 1615702 , 42685 , 34.148160000000004 , 18 , 
 , 1659707 , 43321 , 34.657584 , 18 , 
 , 1703853 , 44150 , 35.320328 , 18 , 
 , 1748521 , 44656 , 35.725 , 18 , 
 , 1792012 , 43474 , 34.779792 , 18 , 
 , 1835972 , 43991 , 35.193160000000006 , 18 , 
 , 1880979 , 45007 , 36.006208 , 18 , 
 , 1925027 , 44041 , 35.232832 , 18 , 
 , 1970582 , 44850 , 35.880455999999995 , 18 , 
 , 2013321 , 42736 , 34.188936 , 18 , 
 , 2051268 , 37946 , 30.357536 , 18 , 
 , 2092820 , 41562 , 33.250008 , 18 , 
 , 2136077 , 42593 , 34.075048 , 18 , 
 , 2179240 , 43162 , 34.530016 , 18 , 
 , 2223171 , 43922 , 35.137872 , 18 , 
 , 2267328 , 44165 , 35.332271999999996 , 18 , 
 , 2310000 , 42661 , 34.129336 , 18 , 
 , 2353418 , 43392 , 34.714296000000004 , 18 , 
 , 2392074 , 38649 , 30.91948 , 18 , 
 , 2436622 , 43871 , 35.097368 , 18 , 
 , 2480525 , 43875 , 35.100216 , 18 , 
 , 2523440 , 42936 , 34.349168 , 18 , 
 , 2565764 , 42324 , 33.859296 , 18 , 
 , 2608096 , 42282 , 33.825648 , 18 , 
 , 2651388 , 43332 , 34.666008000000005 , 18 , 
 , 2694734 , 43154 , 34.52396 , 18 , 
 , 2735715 , 41169 , 32.93528 , 18 , 
 , 2778001 , 42275 , 33.820648 , 18 , 
 , 2820526 , 42533 , 34.0268 , 18 , 
 , 2864416 , 43903 , 35.1226 , 18 , 
 , 2908643 , 44196 , 35.357232 , 18 , 
 , 2953056 , 43766 , 35.013528 , 18 , 
 , 2985754 , 32476 , 25.981 , 18 , 
 , 3012710 , 26893 , 21.514968 , 18 , 
 , 3054636 , 41265 , 33.01204 , 18 , 
 , 3096788 , 42149 , 33.71984 , 18 , 
 , 3139101 , 42313 , 33.851104 , 18 , 
 , 3181270 , 42159 , 33.727336 , 18 , 
 , 3224131 , 42208 , 33.766832 , 18 , 
 , 3268899 , 44094 , 35.275664 , 18 , 
 , 3312266 , 43354 , 34.683224 , 18 , 
 , 3354374 , 41458 , 33.166936 , 18 , 
 , 3398178 , 43806 , 35.045264 , 18 , 
 , 3441635 , 43440 , 34.752008000000004 , 18 , 
 , 3485388 , 43102 , 34.482296000000005 , 18 , 
 , 3530635 , 44536 , 35.629343999999996 , 18 , 
 , 3575372 , 44044 , 35.235519999999994 , 18 , 
 , 3620602 , 44538 , 35.63044 , 18 , 
 , 3664711 , 44103 , 35.282648 , 18 , 
 , 3699324 , 34598 , 27.679128000000002 , 18 , 
 , 3742828 , 43473 , 34.778888 , 18 , 
 , 3785304 , 42455 , 33.964591999999996 , 18 , 
 , 3826328 , 41048 , 32.838504 , 18 , 
 , 3864276 , 37362 , 29.889992 , 18 , 
 , 3907688 , 43406 , 34.724911999999996 , 18 , 
 , 3946654 , 38913 , 31.131048 , 18 , 
 , 3989135 , 42514 , 34.011528 , 18 , 
 , 4032071 , 42250 , 33.800648 , 18 , 
 , 4075504 , 43436 , 34.749488 , 18 , 
 , 4118518 , 42367 , 33.893744 , 18 , 
