 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 29000 , 14828 , 11.863024 , 0 , 
 , 49656 , 20655 , 16.524464 , 0 , 
 , 69910 , 20256 , 16.204816 , 0 , 
 , 91850 , 21573 , 17.259072 , 0 , 
 , 111520 , 19673 , 15.738935999999999 , 0 , 
 , 132548 , 21029 , 16.823272 , 0 , 
 , 153800 , 21252 , 17.002192 , 0 , 
 , 172350 , 18548 , 14.838424000000002 , 0 , 
 , 188408 , 16016 , 12.813392 , 0 , 
 , 209270 , 20891 , 16.713024 , 0 , 
 , 231595 , 22312 , 17.849824 , 0 , 
 , 255216 , 23618 , 18.89464 , 0 , 
 , 277626 , 22410 , 17.92848 , 0 , 
 , 300270 , 22611 , 18.089544 , 0 , 
 , 320656 , 20412 , 16.329744 , 0 , 
 , 341060 , 20395 , 16.316344 , 0 , 
 , 362886 , 21825 , 17.460656 , 0 , 
 , 384366 , 21478 , 17.182464 , 0 , 
 , 405710 , 21320 , 17.0564 , 0 , 
 , 409268 , 3464 , 2.7716640000000003 , 0 , 
 , 428120 , 19089 , 15.271376 , 0 , 
 , 450930 , 22810 , 18.248616000000002 , 0 , 
 , 471106 , 20176 , 16.140832 , 0 , 
 , 492236 , 21128 , 16.902912 , 0 , 
 , 513746 , 21179 , 16.943223999999997 , 0 , 
 , 534906 , 21157 , 16.925968 , 0 , 
 , 553946 , 18949 , 15.159728 , 0 , 
 , 575375 , 21516 , 17.213272 , 0 , 
 , 596586 , 20902 , 16.721752000000002 , 0 , 
 , 616306 , 19698 , 15.759103999999999 , 0 , 
 , 636056 , 19749 , 15.799728 , 0 , 
 , 657537 , 21461 , 17.16948 , 0 , 
 , 679800 , 22265 , 17.812784 , 0 , 
 , 700010 , 20205 , 16.164711999999998 , 0 , 
 , 720730 , 20708 , 16.567096000000003 , 0 , 
 , 740960 , 20224 , 16.179624 , 0 , 
 , 760070 , 18820 , 15.056312 , 0 , 
 , 782470 , 22402 , 17.921856 , 0 , 
 , 804430 , 21958 , 17.566727999999998 , 0 , 
 , 814928 , 10463 , 8.37108 , 0 , 
 , 837565 , 22637 , 18.109632 , 0 , 
 , 860390 , 22821 , 18.257368 , 0 , 
 , 877310 , 16911 , 13.52884 , 0 , 
 , 900690 , 23385 , 18.708072 , 0 , 
 , 921456 , 20763 , 16.610919999999997 , 0 , 
 , 944100 , 22642 , 18.114 , 0 , 
 , 967236 , 23135 , 18.508744 , 0 , 
 , 990090 , 22502 , 18.00236 , 0 , 
 , 1013030 , 22587 , 18.069696 , 0 , 
 , 1035456 , 22425 , 17.940383999999998 , 0 , 
 , 1058756 , 22942 , 18.354080000000003 , 0 , 
 , 1079956 , 21202 , 16.96164 , 0 , 
 , 1102050 , 22089 , 17.671664 , 0 , 
 , 1124370 , 22323 , 17.858728 , 0 , 
 , 1146730 , 22361 , 17.888887999999998 , 0 , 
 , 1170290 , 23196 , 18.556912 , 0 , 
 , 1193280 , 22984 , 18.387472000000002 , 0 , 
 , 1216346 , 22704 , 18.163919999999997 , 0 , 
 , 1239756 , 23045 , 18.436367999999998 , 0 , 
 , 1262670 , 22576 , 18.06088 , 0 , 
