 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 15118 , 11750 , 9.400752 , 0 , 
 , 23510 , 8294 , 6.6359520000000005 , 0 , 
 , 36930 , 13213 , 10.571136000000001 , 0 , 
 , 45909 , 8919 , 7.135688 , 0 , 
 , 59766 , 13860 , 11.088464 , 0 , 
 , 68398 , 8265 , 6.6123199999999995 , 0 , 
 , 70840 , 2469 , 1.975344 , 0 , 
 , 86740 , 15759 , 12.607384 , 0 , 
 , 100030 , 13250 , 10.600567999999999 , 0 , 
 , 108780 , 8778 , 7.0230559999999995 , 0 , 
 , 120930 , 12150 , 9.720392 , 0 , 
 , 134840 , 13695 , 10.956432000000001 , 0 , 
 , 150010 , 14933 , 11.946784 , 0 , 
 , 165020 , 15008 , 12.007128 , 0 , 
 , 181750 , 16732 , 13.385879999999998 , 0 , 
 , 196060 , 14311 , 11.449064 , 0 , 
 , 203330 , 7269 , 5.8158639999999995 , 0 , 
 , 215120 , 11777 , 9.421776 , 0 , 
 , 230230 , 15108 , 12.086808000000001 , 0 , 
 , 245220 , 14930 , 11.944744 , 0 , 
 , 260670 , 15432 , 12.346208 , 0 , 
 , 276975 , 16303 , 13.042992 , 0 , 
 , 284710 , 7727 , 6.182016 , 0 , 
 , 293200 , 8466 , 6.7731840000000005 , 0 , 
 , 311070 , 17870 , 14.296656 , 0 , 
 , 324870 , 13799 , 11.039952 , 0 , 
 , 339670 , 14569 , 11.655648 , 0 , 
 , 352838 , 13170 , 10.536312 , 0 , 
 , 369110 , 16267 , 13.013968 , 0 , 
 , 385485 , 16379 , 13.103704 , 0 , 
 , 400830 , 15294 , 12.235888000000001 , 0 , 
 , 408050 , 7240 , 5.792304 , 0 , 
 , 422229 , 14181 , 11.345104 , 0 , 
 , 434820 , 12594 , 10.075384 , 0 , 
 , 437959 , 3123 , 2.498656 , 0 , 
 , 453370 , 15411 , 12.328904 , 0 , 
 , 468585 , 15219 , 12.1752 , 0 , 
 , 477948 , 9191 , 7.353552 , 0 , 
 , 486720 , 8784 , 7.027384 , 0 , 
 , 502400 , 15684 , 12.547984 , 0 , 
 , 511940 , 9539 , 7.631816 , 0 , 
 , 517770 , 5795 , 4.636152 , 0 , 
 , 524420 , 6613 , 5.291032 , 0 , 
 , 529129 , 4699 , 3.759912 , 0 , 
 , 535249 , 6131 , 4.905216 , 0 , 
 , 544090 , 8826 , 7.061304 , 0 , 
 , 549950 , 5857 , 4.686072 , 0 , 
 , 560330 , 10382 , 8.305912000000001 , 0 , 
 , 573029 , 12162 , 9.729608 , 0 , 
 , 588900 , 15988 , 12.79116 , 0 , 
 , 597659 , 8758 , 7.0070559999999995 , 0 , 
 , 609740 , 11952 , 9.56184 , 0 , 
 , 626430 , 16687 , 13.349872 , 0 , 
 , 640980 , 14533 , 11.626648 , 0 , 
 , 654940 , 13569 , 10.855288 , 0 , 
 , 666729 , 11960 , 9.568040000000002 , 0 , 
 , 669770 , 3041 , 2.433168 , 0 , 
 , 678989 , 9074 , 7.259608 , 0 , 
 , 683770 , 4718 , 3.775088 , 0 , 
 , 691780 , 7969 , 6.37572 , 0 , 
 , 702840 , 11022 , 8.818104 , 0 , 
 , 710569 , 7677 , 6.14192 , 0 , 
 , 717220 , 6546 , 5.23708 , 0 , 
 , 731510 , 14296 , 11.437272 , 0 , 
 , 747490 , 15979 , 12.783584000000001 , 0 , 
 , 763750 , 16009 , 12.80772 , 0 , 
 , 771338 , 7549 , 6.0392 , 0 , 
 , 780119 , 8767 , 7.014232 , 0 , 
 , 793859 , 13742 , 10.994392 , 0 , 
 , 807148 , 13290 , 10.632408 , 0 , 
 , 823010 , 15612 , 12.489896 , 0 , 
 , 838160 , 15154 , 12.123624 , 0 , 
 , 840509 , 2317 , 1.853768 , 0 , 
 , 849470 , 8887 , 7.110168 , 0 , 
 , 855250 , 5720 , 4.57664 , 0 , 
 , 864260 , 9010 , 7.208399999999999 , 0 , 
 , 869720 , 5452 , 4.361904000000001 , 0 , 
 , 884150 , 14398 , 11.518552 , 0 , 
 , 891748 , 7368 , 5.894399999999999 , 0 , 
 , 904380 , 12645 , 10.1164 , 0 , 
 , 920390 , 16014 , 12.811688 , 0 , 
 , 937430 , 17033 , 13.626944 , 0 , 
 , 953055 , 15626 , 12.501472 , 0 , 
 , 968990 , 15893 , 12.71476 , 0 , 
 , 985260 , 16005 , 12.804064 , 0 , 
 , 1002080 , 16834 , 13.46728 , 0 , 
 , 1017610 , 15530 , 12.42412 , 0 , 
 , 1026188 , 8578 , 6.862912000000001 , 0 , 
 , 1037158 , 10324 , 8.259536 , 0 , 
 , 1039840 , 2682 , 2.145632 , 0 , 
 , 1049170 , 9274 , 7.419864 , 0 , 
 , 1054099 , 4870 , 3.896776 , 0 , 
 , 1064360 , 10120 , 8.096184000000001 , 0 , 
 , 1068089 , 3618 , 2.8948400000000003 , 0 , 
 , 1076130 , 6659 , 5.327351999999999 , 0 , 
 , 1085280 , 7752 , 6.202376 , 0 , 
 , 1093319 , 6293 , 5.034696 , 0 , 
 , 1104290 , 11124 , 8.8994 , 0 , 
 , 1120440 , 15901 , 12.721424 , 0 , 
 , 1137070 , 16629 , 13.30396 , 0 , 
 , 1153030 , 15953 , 12.763095999999999 , 0 , 
 , 1169930 , 16898 , 13.518992 , 0 , 
 , 1186610 , 16424 , 13.139520000000001 , 0 , 
 , 1203130 , 16522 , 13.217784 , 0 , 
 , 1222500 , 14493 , 11.594968000000001 , 0 , 
 , 1235130 , 11511 , 9.209040000000002 , 0 , 
 , 1238179 , 3079 , 2.4636080000000002 , 0 , 
 , 1247839 , 8326 , 6.661207999999999 , 0 , 
 , 1251210 , 3001 , 2.401152 , 0 , 
 , 1264669 , 11267 , 9.014336 , 0 , 
 , 1276960 , 8275 , 6.620072 , 0 , 
 , 1281179 , 4223 , 3.379112 , 0 , 
 , 1295010 , 13970 , 11.17672 , 0 , 
 , 1311050 , 16050 , 12.840408 , 0 , 
 , 1327140 , 16090 , 12.872456 , 0 , 
 , 1344668 , 17255 , 13.804152 , 0 , 
 , 1360060 , 15396 , 12.317191999999999 , 0 , 
 , 1371000 , 10939 , 8.751512 , 0 , 
 , 1386849 , 15605 , 12.484440000000001 , 0 , 
 , 1403700 , 16850 , 13.480407999999999 , 0 , 
 , 1419635 , 15921 , 12.736951999999999 , 0 , 
 , 1437010 , 17391 , 13.912808 , 0 , 
 , 1452620 , 15609 , 12.487968 , 0 , 
 , 1467910 , 15272 , 12.218247999999999 , 0 , 
 , 1485170 , 16994 , 13.595512000000001 , 0 , 
 , 1502430 , 16976 , 13.580976 , 0 , 
 , 1517815 , 15154 , 12.123479999999999 , 0 , 
 , 1534890 , 16790 , 13.43228 , 0 , 
 , 1549855 , 14990 , 11.99268 , 0 , 
 , 1567170 , 17315 , 13.852191999999999 , 0 , 
 , 1582635 , 15205 , 12.164568 , 0 , 
 , 1599030 , 16417 , 13.134096 , 0 , 
 , 1616150 , 17117 , 13.693871999999999 , 0 , 
 , 1630720 , 14570 , 11.656592 , 0 , 
 , 1647280 , 16560 , 13.248232 , 0 , 
 , 1664160 , 16876 , 13.501176 , 0 , 
 , 1680840 , 16679 , 13.343848 , 0 , 
 , 1696460 , 15382 , 12.305832 , 0 , 
 , 1714190 , 17727 , 14.181616 , 0 , 
 , 1729735 , 15547 , 12.438184 , 0 , 
 , 1747780 , 17768 , 14.215048000000001 , 0 , 
 , 1763520 , 15738 , 12.591104 , 0 , 
 , 1781430 , 17912 , 14.330088 , 0 , 
 , 1795240 , 13801 , 11.041416 , 0 , 
 , 1812680 , 17437 , 13.950128000000001 , 0 , 
 , 1827970 , 15292 , 12.234224 , 0 , 
 , 1845388 , 17415 , 13.93268 , 0 , 
