 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 17218 , 8765 , 7.0120640000000005 , 0 , 
 , 25370 , 8098 , 6.479032 , 0 , 
 , 35190 , 9819 , 7.8552 , 0 , 
 , 55100 , 19907 , 15.926384 , 0 , 
 , 79730 , 24621 , 19.697256000000003 , 0 , 
 , 101020 , 21254 , 17.003496 , 0 , 
 , 131410 , 30389 , 24.311512 , 0 , 
 , 159240 , 27829 , 22.263688 , 0 , 
 , 186910 , 27672 , 22.137896 , 0 , 
 , 214337 , 27426 , 21.940848000000003 , 0 , 
 , 240450 , 26102 , 20.882208 , 0 , 
 , 268577 , 28104 , 22.483472000000003 , 0 , 
 , 291850 , 23048 , 18.439128 , 0 , 
 , 316297 , 24335 , 19.468608 , 0 , 
 , 340807 , 24508 , 19.606720000000003 , 0 , 
 , 361007 , 20200 , 16.160752 , 0 , 
 , 387080 , 26029 , 20.823536 , 0 , 
 , 414697 , 27597 , 22.07836 , 0 , 
 , 441638 , 26938 , 21.550576 , 0 , 
 , 468050 , 26008 , 20.806552 , 0 , 
 , 492637 , 24590 , 19.672136 , 0 , 
 , 520190 , 27124 , 21.699568 , 0 , 
 , 538180 , 17982 , 14.385928 , 0 , 
 , 555618 , 17381 , 13.905327999999999 , 0 , 
 , 570730 , 14372 , 11.497639999999999 , 0 , 
 , 599557 , 29024 , 23.219864 , 0 , 
 , 625780 , 26271 , 21.017008 , 0 , 
 , 653350 , 27569 , 22.055928 , 0 , 
 , 680970 , 27188 , 21.750768 , 0 , 
 , 700700 , 19734 , 15.787344 , 0 , 
 , 728050 , 26928 , 21.543104 , 0 , 
 , 754917 , 26848 , 21.478648 , 0 , 
 , 779910 , 24973 , 19.978711999999998 , 0 , 
 , 807777 , 27867 , 22.293704 , 0 , 
 , 823870 , 16085 , 12.8684 , 0 , 
 , 841838 , 17960 , 14.368504000000001 , 0 , 
 , 860480 , 18518 , 14.81456 , 0 , 
 , 884950 , 24090 , 19.272704 , 0 , 
 , 906950 , 21982 , 17.586368 , 0 , 
 , 930585 , 23529 , 18.823984 , 0 , 
 , 954886 , 24292 , 19.434192 , 0 , 
 , 979736 , 24854 , 19.883456 , 0 , 
 , 1003866 , 24125 , 19.300792 , 0 , 
 , 1026856 , 22980 , 18.384328 , 0 , 
 , 1039409 , 12557 , 10.046064 , 0 , 
 , 1056768 , 17355 , 13.884559999999999 , 0 , 
 , 1079279 , 22510 , 18.008384 , 0 , 
 , 1097660 , 18379 , 14.703912 , 0 , 
 , 1120980 , 22971 , 18.376872 , 0 , 
 , 1135125 , 13688 , 10.950959999999998 , 0 , 
 , 1142089 , 6975 , 5.580344 , 0 , 
 , 1165379 , 23294 , 18.635384 , 0 , 
 , 1186126 , 20730 , 16.584792 , 0 , 
 , 1207475 , 21350 , 17.080544000000003 , 0 , 
 , 1230626 , 23151 , 18.521335999999998 , 0 , 
 , 1253936 , 22955 , 18.364192 , 0 , 
 , 1276946 , 23010 , 18.408144 , 0 , 
 , 1301526 , 24577 , 19.661815999999998 , 0 , 
 , 1325446 , 23920 , 19.136152 , 0 , 
 , 1346806 , 21029 , 16.823976 , 0 , 
 , 1370877 , 24079 , 19.263560000000002 , 0 , 
 , 1393590 , 22354 , 17.883224 , 0 , 
 , 1418636 , 24663 , 19.730832 , 0 , 
 , 1441596 , 22959 , 18.367776000000003 , 0 , 
 , 1454976 , 13255 , 10.604479999999999 , 0 , 
 , 1473370 , 18551 , 14.84112 , 0 , 
 , 1496556 , 23204 , 18.563200000000002 , 0 , 
 , 1518345 , 21790 , 17.432472 , 0 , 
 , 1529100 , 10692 , 8.553704 , 0 , 
 , 1533422 , 4290 , 3.432792 , 0 , 
 , 1543059 , 9638 , 7.711072 , 0 , 
 , 1564800 , 21757 , 17.405936 , 0 , 
 , 1580380 , 15535 , 12.428056 , 0 , 
 , 1589590 , 9159 , 7.327648 , 0 , 
 , 1607189 , 17432 , 13.946024 , 0 , 
 , 1629266 , 22078 , 17.662688 , 0 , 
 , 1643519 , 14213 , 11.37068 , 0 , 
 , 1665775 , 22228 , 17.782816 , 0 , 
 , 1670610 , 4826 , 3.8612399999999996 , 0 , 
 , 1682430 , 11791 , 9.432976 , 0 , 
 , 1702690 , 20249 , 16.199624 , 0 , 
 , 1725046 , 22369 , 17.895712 , 0 , 
 , 1746270 , 21124 , 16.899296 , 0 , 
 , 1769530 , 23244 , 18.595688 , 0 , 
 , 1793516 , 23985 , 19.188352 , 0 , 
 , 1817266 , 23745 , 18.996063999999997 , 0 , 
 , 1840660 , 23405 , 18.724168000000002 , 0 , 
 , 1864586 , 23554 , 18.843704000000002 , 0 , 
 , 1887076 , 22504 , 18.003768 , 0 , 
 , 1907660 , 20571 , 16.457552 , 0 , 
 , 1931515 , 23753 , 19.003040000000002 , 0 , 
 , 1951770 , 20209 , 16.167896 , 0 , 
 , 1969950 , 18142 , 14.513848 , 0 , 
 , 1994310 , 24298 , 19.438448 , 0 , 
 , 2009570 , 15185 , 12.148031999999999 , 0 , 
 , 2026350 , 16831 , 13.46528 , 0 , 
 , 2048230 , 21851 , 17.481512 , 0 , 
 , 2072005 , 23673 , 18.938992 , 0 , 
 , 2093760 , 21511 , 17.209304 , 0 , 
 , 2118280 , 24439 , 19.55124 , 0 , 
 , 2142516 , 24236 , 19.388952 , 0 , 
 , 2157066 , 12618 , 10.094488 , 0 , 
 , 2174380 , 16613 , 13.290968000000001 , 0 , 
 , 2197609 , 18634 , 14.907904 , 0 , 
 , 2202210 , 4621 , 3.697496 , 0 , 
 , 2226220 , 23959 , 19.167856 , 0 , 
 , 2251030 , 24479 , 19.583328 , 0 , 
 , 2275280 , 23876 , 19.100952 , 0 , 
 , 2299466 , 24186 , 19.348968 , 0 , 
 , 2321000 , 21522 , 17.217744 , 0 , 
 , 2345836 , 24451 , 19.56108 , 0 , 
 , 2368066 , 22219 , 17.775552 , 0 , 
 , 2392050 , 23614 , 18.891744 , 0 , 
 , 2413130 , 21025 , 16.8202 , 0 , 
 , 2424370 , 11234 , 8.987495999999998 , 0 , 
 , 2449150 , 24779 , 19.82368 , 0 , 
 , 2473320 , 24170 , 19.336496 , 0 , 
 , 2497526 , 23831 , 19.065056000000002 , 0 , 
 , 2523840 , 26316 , 21.053136 , 0 , 
 , 2548350 , 24509 , 19.60764 , 0 , 
 , 2573510 , 24769 , 19.815936 , 0 , 
 , 2598000 , 24490 , 19.592584 , 0 , 
 , 2613114 , 15021 , 12.017136 , 0 , 
 , 2627960 , 14735 , 11.788343999999999 , 0 , 
 , 2653370 , 25411 , 20.329112000000002 , 0 , 
 , 2677760 , 24389 , 19.511680000000002 , 0 , 
 , 2702620 , 24860 , 19.888072 , 0 , 
 , 2716170 , 13548 , 10.839176 , 0 , 
 , 2719146 , 2975 , 2.38 , 0 , 
 , 2728030 , 8796 , 7.037056 , 0 , 
 , 2732550 , 4496 , 3.59712 , 0 , 
 , 2752500 , 19937 , 15.950263999999999 , 0 , 
 , 2778320 , 25824 , 20.65936 , 0 , 
 , 2802980 , 24659 , 19.727936000000003 , 0 , 
 , 2827137 , 24149 , 19.319936000000002 , 0 , 
 , 2850880 , 23749 , 18.999848 , 0 , 
 , 2876676 , 25398 , 20.318687999999998 , 0 , 
 , 2901780 , 25098 , 20.078616 , 0 , 
 , 2918990 , 16949 , 13.559384 , 0 , 
 , 2943620 , 24629 , 19.703424 , 0 , 
 , 2965650 , 21690 , 17.352176 , 0 , 
 , 2981460 , 15810 , 12.648568 , 0 , 
 , 2983470 , 2006 , 1.604984 , 0 , 
 , 2988590 , 5064 , 4.051368 , 0 , 
 , 3012340 , 23758 , 19.006704000000003 , 0 , 
 , 3037800 , 25067 , 20.054223999999998 , 0 , 
 , 3062800 , 24612 , 19.689824 , 0 , 
 , 3087540 , 24743 , 19.795024 , 0 , 
 , 3112400 , 24476 , 19.581392 , 0 , 
 , 3137050 , 24649 , 19.719896000000002 , 0 , 
 , 3161470 , 24420 , 19.536664000000002 , 0 , 
 , 3185400 , 23890 , 19.11252 , 0 , 
 , 3210840 , 25439 , 20.351727999999998 , 0 , 
 , 3236540 , 25699 , 20.559936 , 0 , 
 , 3261630 , 24701 , 19.761 , 0 , 
 , 3286670 , 25043 , 20.034560000000003 , 0 , 
 , 3311740 , 25069 , 20.055776 , 0 , 
 , 3336816 , 24688 , 19.75096 , 0 , 
 , 3356397 , 19581 , 15.665216000000001 , 0 , 
 , 3378620 , 22151 , 17.721176 , 0 , 
 , 3403900 , 25279 , 20.223568 , 0 , 
 , 3428830 , 24545 , 19.63676 , 0 , 
 , 3454540 , 25710 , 20.568512 , 0 , 
 , 3480340 , 25799 , 20.639952 , 0 , 
 , 3504990 , 24650 , 19.720056 , 0 , 
 , 3529160 , 24125 , 19.300248 , 0 , 
 , 3551436 , 16886 , 13.509144000000001 , 0 , 
 , 3573790 , 22427 , 17.941632000000002 , 0 , 
 , 3599780 , 25990 , 20.792536 , 0 , 
 , 3625496 , 25317 , 20.253936000000003 , 0 , 
 , 3649360 , 23867 , 19.093656 , 0 , 
 , 3674370 , 24981 , 19.985512 , 0 , 
 , 3699430 , 25057 , 20.045672 , 0 , 
 , 3722940 , 23514 , 18.811400000000003 , 0 , 
 , 3734705 , 11425 , 9.14052 , 0 , 
 , 3766000 , 20809 , 16.647432000000002 , 0 , 
 , 3786270 , 19121 , 15.2972 , 0 , 
 , 3790536 , 4221 , 3.377224 , 0 , 
 , 3825020 , 27590 , 22.07272 , 0 , 
 , 3847506 , 22716 , 18.172888 , 0 , 
 , 3875298 , 27792 , 22.233728 , 0 , 
 , 3901910 , 26616 , 21.293256 , 0 , 
 , 3928930 , 26603 , 21.282768 , 0 , 
 , 3952720 , 23763 , 19.011080000000003 , 0 , 
 , 3980040 , 27260 , 21.808608 , 0 , 
 , 4008688 , 28205 , 22.564207999999997 , 0 , 
 , 4036887 , 28200 , 22.560688 , 0 , 
 , 4062458 , 25537 , 20.430152 , 0 , 
 , 4087890 , 25436 , 20.349296 , 0 , 
 , 4116047 , 27722 , 22.177799999999998 , 0 , 
 , 4143177 , 26711 , 21.369328000000003 , 0 , 
 , 4169130 , 25920 , 20.736784 , 0 , 
 , 4196920 , 27793 , 22.234728 , 0 , 
 , 4224608 , 27684 , 22.147536 , 0 , 
 , 4252240 , 27209 , 21.767224 , 0 , 
 , 4280140 , 27900 , 22.320439999999998 , 0 , 
 , 4308320 , 27745 , 22.196488000000002 , 0 , 
 , 4336038 , 27718 , 22.174864000000003 , 0 , 
 , 4364067 , 28029 , 22.423376 , 0 , 
 , 4391818 , 27748 , 22.198439999999998 , 0 , 
 , 4419730 , 27913 , 22.331096000000002 , 0 , 
 , 4446528 , 26795 , 21.436256 , 0 , 
 , 4474150 , 27197 , 21.758384 , 0 , 
 , 4502080 , 27932 , 22.346383999999997 , 0 , 
 , 4530480 , 27962 , 22.369928 , 0 , 
 , 4559060 , 28581 , 22.865344 , 0 , 
 , 4587230 , 27735 , 22.188608 , 0 , 
 , 4615660 , 27992 , 22.393759999999997 , 0 , 
 , 4644220 , 28560 , 22.848544 , 0 , 
 , 4671818 , 27173 , 21.738495999999998 , 0 , 
 , 4697400 , 25539 , 20.4318 , 0 , 
 , 4725160 , 27758 , 22.206528 , 0 , 
 , 4753600 , 28002 , 22.402344 , 0 , 
 , 4781390 , 27784 , 22.22784 , 0 , 
 , 4809278 , 27889 , 22.311687999999997 , 0 , 
 , 4836400 , 26706 , 21.365047999999998 , 0 , 
 , 4864647 , 28242 , 22.593616 , 0 , 
 , 4892238 , 27593 , 22.074784 , 0 , 
 , 4920247 , 27552 , 22.042240000000003 , 0 , 
 , 4947718 , 27496 , 21.997448 , 0 , 
 , 4975827 , 28111 , 22.488903999999998 , 0 , 
 , 4992160 , 16330 , 13.064672 , 0 , 
 , 5015388 , 23231 , 18.585552 , 0 , 
 , 5033238 , 16963 , 13.571048000000001 , 0 , 
 , 5049235 , 16084 , 12.86752 , 0 , 
 , 5073130 , 23894 , 19.115688 , 0 , 
 , 5102850 , 29716 , 23.77336 , 0 , 
 , 5130720 , 27863 , 22.291112000000002 , 0 , 
 , 5157898 , 27181 , 21.745096 , 0 , 
 , 5184587 , 26275 , 21.020688 , 0 , 
 , 5209680 , 25097 , 20.078392 , 0 , 
 , 5237478 , 27791 , 22.233552 , 0 , 
 , 5264728 , 27254 , 21.803768 , 0 , 
 , 5292537 , 27797 , 22.237768 , 0 , 
 , 5308780 , 15992 , 12.794032 , 0 , 
 , 5336940 , 28173 , 22.53868 , 0 , 
 , 5361667 , 24723 , 19.778512 , 0 , 
 , 5390487 , 28377 , 22.701936 , 0 , 
 , 5419620 , 28686 , 22.949216 , 0 , 
 , 5445430 , 25813 , 20.650576 , 0 , 
 , 5471566 , 25729 , 20.583816 , 0 , 
 , 5498748 , 27138 , 21.710704 , 0 , 
 , 5527177 , 28381 , 22.7048 , 0 , 
 , 5548178 , 20676 , 16.541488 , 0 , 
 , 5565340 , 16874 , 13.499255999999999 , 0 , 
 , 5594320 , 29026 , 23.221456 , 0 , 
 , 5623440 , 29113 , 23.290872 , 0 , 
 , 5650590 , 27149 , 21.719864 , 0 , 
 , 5678450 , 27430 , 21.944544 , 0 , 
 , 5699710 , 21266 , 17.01312 , 0 , 
 , 5718149 , 18400 , 14.720544 , 0 , 
 , 5732570 , 14322 , 11.458343999999999 , 0 , 
 , 5737509 , 4933 , 3.946504 , 0 , 
 , 5747770 , 10100 , 8.080616 , 0 , 
 , 5776875 , 29095 , 23.276336 , 0 , 
 , 5803808 , 26941 , 21.553096 , 0 , 
 , 5831087 , 26849 , 21.479928 , 0 , 
 , 5856850 , 25781 , 20.625207999999997 , 0 , 
 , 5883927 , 27074 , 21.659864000000002 , 0 , 
 , 5911257 , 27327 , 21.861616 , 0 , 
 , 5939220 , 27531 , 22.024872 , 0 , 
 , 5966120 , 26905 , 21.524664 , 0 , 
 , 5994660 , 28098 , 22.478632 , 0 , 
 , 6003418 , 8757 , 7.00612 , 0 , 
 , 6030275 , 26657 , 21.32576 , 0 , 
 , 6049577 , 19256 , 15.405288 , 0 , 
 , 6079275 , 29289 , 23.431368 , 0 , 
 , 6097580 , 18296 , 14.636824 , 0 , 
 , 6103439 , 5785 , 4.628696 , 0 , 
 , 6115220 , 11779 , 9.42392 , 0 , 
 , 6125750 , 10439 , 8.351288 , 0 , 
 , 6153810 , 28305 , 22.644256000000002 , 0 , 
 , 6178617 , 24809 , 19.847624 , 0 , 
 , 6205057 , 26436 , 21.149264 , 0 , 
 , 6227570 , 22484 , 17.987944 , 0 , 
 , 6254370 , 26799 , 21.439632000000003 , 0 , 
 , 6270686 , 16161 , 12.9294 , 0 , 
 , 6291260 , 20553 , 16.442488 , 0 , 
 , 6320320 , 29065 , 23.252184 , 0 , 
 , 6349150 , 28385 , 22.708448 , 0 , 
 , 6376550 , 27394 , 21.915456 , 0 , 
 , 6403497 , 26534 , 21.227991999999997 , 0 , 
 , 6430450 , 26956 , 21.5652 , 0 , 
 , 6459920 , 29012 , 23.209880000000002 , 0 , 
 , 6480400 , 20428 , 16.343168 , 0 , 
 , 6491490 , 11027 , 8.821912000000001 , 0 , 
 , 6502280 , 10748 , 8.598904000000001 , 0 , 
 , 6512073 , 9749 , 7.7994319999999995 , 0 , 
 , 6539500 , 27400 , 21.920008000000003 , 0 , 
 , 6565940 , 26375 , 21.10032 , 0 , 
 , 6594107 , 27919 , 22.335656 , 0 , 
 , 6621240 , 27132 , 21.7062 , 0 , 
 , 6649987 , 28745 , 22.996168 , 0 , 
 , 6678138 , 28150 , 22.520096000000002 , 0 , 
 , 6706830 , 28693 , 22.954424 , 0 , 
 , 6734658 , 27827 , 22.262192 , 0 , 
 , 6763020 , 28359 , 22.687552 , 0 , 
 , 6782016 , 18991 , 15.193056 , 0 , 
 , 6809240 , 27226 , 21.78148 , 0 , 
 , 6835967 , 26714 , 21.371208 , 0 , 
 , 6863830 , 27864 , 22.291488 , 0 , 
 , 6890950 , 27119 , 21.695712 , 0 , 
 , 6918377 , 27424 , 21.939687999999997 , 0 , 
 , 6943620 , 25229 , 20.183776 , 0 , 
 , 6969307 , 25664 , 20.53192 , 0 , 
 , 6995600 , 26263 , 21.011135999999997 , 0 , 
 , 7021820 , 26151 , 20.920992 , 0 , 
 , 7047830 , 25995 , 20.79652 , 0 , 
 , 7075660 , 27399 , 21.919704000000003 , 0 , 
 , 7100597 , 24836 , 19.869424 , 0 , 
 , 7124750 , 24067 , 19.253832 , 0 , 
 , 7150037 , 25181 , 20.145488 , 0 , 
 , 7176550 , 26503 , 21.202720000000003 , 0 , 
 , 7203327 , 26764 , 21.41168 , 0 , 
 , 7230670 , 27345 , 21.876056000000002 , 0 , 
 , 7258650 , 27979 , 22.38384 , 0 , 
 , 7285150 , 26500 , 21.20004 , 0 , 
 , 7312680 , 27529 , 22.023975999999998 , 0 , 
 , 7341097 , 27977 , 22.382368 , 0 , 
 , 7369099 , 28003 , 22.402536 , 0 , 
 , 7397617 , 28516 , 22.813256000000003 , 0 , 
 , 7424288 , 26672 , 21.33812 , 0 , 
 , 7451857 , 27569 , 22.055304 , 0 , 
 , 7479940 , 28081 , 22.465135999999998 , 0 , 
 , 7507200 , 27261 , 21.809088 , 0 , 
 , 7535217 , 27583 , 22.066599999999998 , 0 , 
 , 7563007 , 27791 , 22.233064 , 0 , 
 , 7590730 , 27717 , 22.173672 , 0 , 
 , 7618770 , 27613 , 22.090432 , 0 , 
 , 7645670 , 26899 , 21.519928 , 0 , 
 , 7673627 , 27956 , 22.365552 , 0 , 
 , 7702130 , 28503 , 22.802599999999998 , 0 , 
 , 7729208 , 27076 , 21.661504 , 0 , 
 , 7756350 , 27138 , 21.711056 , 0 , 
 , 7784610 , 27829 , 22.263576 , 0 , 
 , 7812430 , 27816 , 22.252816 , 0 , 
 , 7839858 , 27427 , 21.9422 , 0 , 
 , 7868417 , 28119 , 22.495919999999998 , 0 , 
 , 7895550 , 27137 , 21.709872 , 0 , 
 , 7924320 , 28327 , 22.661744 , 0 , 
 , 7952538 , 28215 , 22.57248 , 0 , 
 , 7980377 , 27836 , 22.269128000000002 , 0 , 
 , 8008370 , 27993 , 22.394527999999998 , 0 , 
 , 8036468 , 28099 , 22.47952 , 0 , 
 , 8064167 , 27697 , 22.157975999999998 , 0 , 
 , 8092390 , 27793 , 22.235176 , 0 , 
 , 8121630 , 29239 , 23.391904 , 0 , 
 , 8150980 , 28897 , 23.117784 , 0 , 
 , 8179148 , 28166 , 22.533248 , 0 , 
 , 8206550 , 27298 , 21.839088 , 0 , 
 , 8234850 , 28149 , 22.519984 , 0 , 
 , 8262968 , 27679 , 22.1434 , 0 , 
 , 8291747 , 28343 , 22.675136 , 0 , 
 , 8319760 , 28013 , 22.410824 , 0 , 
 , 8348277 , 28518 , 22.814624 , 0 , 
 , 8375908 , 27628 , 22.102672 , 0 , 
 , 8404320 , 27972 , 22.378256 , 0 , 
 , 8432030 , 27287 , 21.82996 , 0 , 
 , 8460470 , 28442 , 22.754088 , 0 , 
 , 8487968 , 27496 , 21.997272000000002 , 0 , 
 , 8516050 , 28082 , 22.466088 , 0 , 
 , 8541608 , 25162 , 20.130128 , 0 , 
 , 8568130 , 26480 , 21.184632 , 0 , 
 , 8596260 , 27739 , 22.191912 , 0 , 
 , 8622988 , 26726 , 21.381072 , 0 , 
 , 8651310 , 28324 , 22.659272 , 0 , 
 , 8678618 , 26886 , 21.509048 , 0 , 
 , 8706260 , 27643 , 22.115096 , 0 , 
 , 8733098 , 26837 , 21.469712 , 0 , 
 , 8760170 , 27069 , 21.65556 , 0 , 
 , 8788910 , 28301 , 22.640928 , 0 , 
 , 8815458 , 26518 , 21.214744 , 0 , 
 , 8843810 , 28254 , 22.603928 , 0 , 
 , 8871360 , 27549 , 22.039816 , 0 , 
 , 8900410 , 29050 , 23.240527999999998 , 0 , 
 , 8927818 , 27407 , 21.926136 , 0 , 
 , 8956290 , 28468 , 22.774408 , 0 , 
 , 8984320 , 28035 , 22.428528 , 0 , 
 , 9012070 , 27749 , 22.199351999999998 , 0 , 
 , 9039398 , 26899 , 21.519232 , 0 , 
 , 9067620 , 28220 , 22.576488 , 0 , 
 , 9091888 , 24267 , 19.414240000000003 , 0 , 
 , 9121266 , 28927 , 23.141959999999997 , 0 , 
 , 9149159 , 27893 , 22.314975999999998 , 0 , 
 , 9177987 , 28381 , 22.705328 , 0 , 
 , 9203638 , 25652 , 20.521639999999998 , 0 , 
 , 9231690 , 28061 , 22.449568 , 0 , 
 , 9259688 , 27563 , 22.050856 , 0 , 
 , 9288460 , 28332 , 22.6658 , 0 , 
 , 9316260 , 27543 , 22.035008 , 0 , 
 , 9344738 , 28038 , 22.431128 , 0 , 
 , 9372580 , 27845 , 22.2762 , 0 , 
 , 9400850 , 28269 , 22.615632 , 0 , 
 , 9429148 , 27862 , 22.290112 , 0 , 
 , 9457170 , 28018 , 22.415128 , 0 , 
 , 9484550 , 27379 , 21.903599999999997 , 0 , 
 , 9513000 , 28453 , 22.763024 , 0 , 
 , 9540358 , 27355 , 21.884383999999997 , 0 , 
 , 9568890 , 28092 , 22.474144 , 0 , 
 , 9595890 , 26999 , 21.599648000000002 , 0 , 
 , 9624030 , 28142 , 22.514272000000002 , 0 , 
 , 9650980 , 26950 , 21.560208 , 0 , 
 , 9678827 , 27416 , 21.933376 , 0 , 
 , 9702737 , 23831 , 19.065424 , 0 , 
 , 9731956 , 29172 , 23.337903999999998 , 0 , 
 , 9759188 , 27231 , 21.785511999999997 , 0 , 
 , 9786910 , 27723 , 22.179080000000003 , 0 , 
 , 9814740 , 27829 , 22.263728 , 0 , 
 , 9842318 , 27148 , 21.719064 , 0 , 
 , 9869420 , 27094 , 21.675464 , 0 , 
 , 9896938 , 27092 , 21.673704 , 0 , 
