 , Total Packets:,Packets/s:,Throughput (mbps):,Packets Lost:,
 , 0 , 0 , 0.0 , 0 , 
 , 5290 , 5040 , 4.03268 , 0 , 
 , 12020 , 6759 , 5.407984000000001 , 0 , 
 , 19459 , 7444 , 5.955808 , 0 , 
 , 21780 , 2042 , 1.634392 , 0 , 
 , 28880 , 7142 , 5.71372 , 0 , 
 , 33830 , 4943 , 3.9550639999999997 , 0 , 
 , 39210 , 5315 , 4.252 , 0 , 
 , 47180 , 7965 , 6.372672 , 0 , 
 , 55539 , 8317 , 6.65436 , 0 , 
 , 64930 , 9387 , 7.510304 , 0 , 
 , 74150 , 9200 , 7.360288 , 0 , 
 , 84119 , 9964 , 7.9714 , 0 , 
 , 93760 , 9489 , 7.59132 , 0 , 
 , 103250 , 9346 , 7.477399999999999 , 0 , 
 , 113240 , 9841 , 7.87284 , 0 , 
 , 122480 , 9095 , 7.276096 , 0 , 
 , 132110 , 9632 , 7.705944000000001 , 0 , 
 , 141810 , 9694 , 7.755520000000001 , 0 , 
 , 151673 , 9716 , 7.773 , 0 , 
 , 161440 , 9616 , 7.693368 , 0 , 
 , 170968 , 9526 , 7.621224 , 0 , 
 , 180710 , 9744 , 7.795864 , 0 , 
 , 190240 , 9379 , 7.503776 , 0 , 
 , 199950 , 9700 , 7.760728 , 0 , 
 , 208900 , 8821 , 7.056808 , 0 , 
 , 218429 , 9531 , 7.625464 , 0 , 
 , 228420 , 9834 , 7.867512 , 0 , 
 , 237928 , 9507 , 7.60604 , 0 , 
 , 247890 , 9809 , 7.847288 , 0 , 
 , 257460 , 9570 , 7.6560559999999995 , 0 , 
 , 267209 , 9748 , 7.799168 , 0 , 
 , 276580 , 9369 , 7.4954 , 0 , 
 , 286100 , 9520 , 7.616631999999999 , 0 , 
 , 295670 , 9573 , 7.659104 , 0 , 
 , 305140 , 9301 , 7.441208 , 0 , 
 , 314100 , 8983 , 7.186536 , 0 , 
 , 323860 , 9607 , 7.686088 , 0 , 
 , 333020 , 9158 , 7.327128 , 0 , 
 , 342437 , 9417 , 7.534248 , 0 , 
 , 352440 , 10003 , 8.003055999999999 , 0 , 
 , 362140 , 9696 , 7.757408000000001 , 0 , 
 , 371710 , 9572 , 7.6578800000000005 , 0 , 
 , 381100 , 9388 , 7.510752 , 0 , 
 , 390600 , 9504 , 7.603224 , 0 , 
 , 399640 , 9038 , 7.230600000000001 , 0 , 
 , 409490 , 9696 , 7.75692 , 0 , 
 , 418910 , 9408 , 7.527127999999999 , 0 , 
 , 428560 , 9653 , 7.722703999999999 , 0 , 
 , 438129 , 9417 , 7.533632 , 0 , 
 , 447570 , 9294 , 7.435784 , 0 , 
 , 457450 , 9733 , 7.78696 , 0 , 
 , 466940 , 9489 , 7.591904 , 0 , 
 , 476580 , 9639 , 7.7116880000000005 , 0 , 
 , 486080 , 9350 , 7.480784 , 0 , 
 , 495790 , 9714 , 7.7714 , 0 , 
 , 505228 , 9433 , 7.546992 , 0 , 
 , 514720 , 9488 , 7.590568 , 0 , 
 , 524720 , 9849 , 7.879416 , 0 , 
 , 534440 , 9724 , 7.779824 , 0 , 
 , 542638 , 8177 , 6.541984 , 0 , 
 , 551159 , 8497 , 6.797631999999999 , 0 , 
 , 559130 , 7972 , 6.378168 , 0 , 
 , 564480 , 5349 , 4.279808 , 0 , 
 , 573880 , 9252 , 7.401808 , 0 , 
 , 582280 , 8396 , 6.717288 , 0 , 
 , 586229 , 3811 , 3.0491840000000003 , 0 , 
 , 590100 , 3889 , 3.111768 , 0 , 
 , 595950 , 5804 , 4.643336000000001 , 0 , 
 , 599120 , 3144 , 2.5153119999999998 , 0 , 
 , 604440 , 5267 , 4.213888 , 0 , 
 , 612289 , 7596 , 6.077064 , 0 , 
 , 620709 , 8428 , 6.742984000000001 , 0 , 
 , 629460 , 8751 , 7.001504 , 0 , 
 , 639288 , 9671 , 7.7374719999999995 , 0 , 
 , 648948 , 9511 , 7.609016 , 0 , 
 , 657890 , 8801 , 7.041152 , 0 , 
 , 667480 , 9598 , 7.67888 , 0 , 
 , 676990 , 9510 , 7.60808 , 0 , 
 , 685608 , 8605 , 6.884224000000001 , 0 , 
 , 695519 , 9909 , 7.927392 , 0 , 
 , 705020 , 9502 , 7.602368 , 0 , 
 , 712580 , 7560 , 6.048208 , 0 , 
 , 722759 , 10021 , 8.016808 , 0 , 
 , 732468 , 9709 , 7.767584 , 0 , 
 , 741760 , 9277 , 7.421712 , 0 , 
 , 751383 , 9622 , 7.6979359999999994 , 0 , 
 , 761260 , 9725 , 7.780384 , 0 , 
 , 770850 , 9590 , 7.672784 , 0 , 
 , 780568 , 9566 , 7.65328 , 0 , 
 , 790140 , 9573 , 7.659136 , 0 , 
 , 799870 , 9580 , 7.66408 , 0 , 
 , 809510 , 9491 , 7.592912 , 0 , 
